"siteID","Lake_name","Other_names","lake_or_reservoir","location","region","latitude","longitude","geospatial_accuracy_km","elevation_m","mean_depth_m","max_depth_m","surface_area_km2","volume_km3","source","sampling_depth","sampling_time_of_day","time_period","contributor"
1,"Abaya",,"Lake","Ethiopia","Africa",6.48,37.90,2.00,1249.00,7.00,13.00,1083.70,8.20,"satellite","skin-derived bulk temperature","22:00-5:00","JFM","Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov"
2,"Ai.pi","Ebinur","Lake","China","Asia",44.86,83.02,2.00,166.00,11.89,15.00,600.20,7.14,"satellite","skin-derived bulk temperature","22:00-5:00","JAS","Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov"
3,"Alakol",,"Lake","Kazakhstan","Asia",46.00,81.78,2.00,336.00,22.00,54.00,2802.10,58.60,"satellite","skin-derived bulk temperature","22:00-5:00","JAS","Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov"
4,"Albert",,"Lake","Uganda Zaire","Africa",1.80,31.10,2.00,629.00,25.00,58.00,5401.90,132.00,"satellite","skin-derived bulk temperature","22:00-5:00","JFM","Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov"
5,"Aleknagik",,"Lake","United States","Western North America",59.35,-158.82,17.00,10.00,43.00,110.00,83.00,3.56,"in situ","0","10:00-18:00","JAS","Daniel Schindler deschind@uw.edu"
6,"Alexandrina",,"Lake","Australia","Oceania",-35.42,139.21,2.00,20.00,2.00,5.00,862.50,1.62,"satellite","skin-derived bulk temperature","22:00-5:00","JFM","Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov"
7,"Allequash",,"Lake","United States","Northeastern North America",46.04,-89.62,1.00,494.00,2.90,8.00,1.68,4.88e-03,"in situ","0","9:00-15:00","JAS","NTL LTER, Jordan Read jread@usgs.gov"
8,"Allgjuttern",,"Lake","Sweden","Europe",57.94,16.09,0.50,126.30,11.40,40.70,0.18,2.1e-03,"in situ","0","9:00-11:00","JAS","Gesa  Weyhenmeyer Gesa.Weyhenmeyer@ebc.uu.se"
9,"Almanor",,"Reservoir ","United States","Western North America",40.22,-121.10,2.00,1403.00,13.38,27.40,104.60,1.40,"satellite","skin-derived bulk temperature","22:00-5:00","JAS","Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov"
10,"Amadjuak",,"Lake","Canada","Northeastern North America",64.95,-71.11,2.00,112.00,,,3033.70,,"satellite","skin-derived bulk temperature","22:00-5:00","JAS","Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov"
11,"Annecy",,"Lake","France","Europe",45.86,6.16,1.00,447.00,41.00,65.00,27.00,1.10,"in situ","2.5","9:00-11:30","JAS","Orlane Anneville orlane.anneville@thonon.inra.fr"
12,"Annie",,"Lake","United States","Southeastern North America",27.20,-81.35,0.50,33.70,6.00,21.00,0.36,3.0e-03,"in situ","0","continuous","JAS","Kye Ewing kewing@archbold-station.org; Hilary Swain hswain@archbold-station.org"
13,"Apopka",,"Lake","United States","Southeastern North America",28.61,-81.61,8.00,20.00,1.60,3.00,125.00,0.26,"in situ","0","9:00-12:00","JAS","Karl Havens khavens@ufl.edu"
14,"Aral.Sea",,"Lake","Kazakhstan Uzbekistan","Middle East",44.80,58.44,2.00,42.00,16.00,67.00,65966.80,625.00,"satellite","skin-derived bulk temperature","22:00-5:00","JAS","Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov"
15,"Argentina",,"Lake","Argentina Chile","South America",-50.23,-72.36,2.00,225.00,150.00,500.00,1401.90,219.90,"satellite","skin-derived bulk temperature","22:00-5:00","JFM","Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov"
